ID,Nombre,Texto,Velocidad
76,,Calm down? The way he says it tells me he knew full well that I wouldn't like it. Am I going to be home schooled?,0.015
77,,"Whatever of my concern shows, it's ignored.",0.015
78,Doctor,"""We all understand that your education is paramount; however, I don't think that it's wise for you to be without supervision.""",0.015
79,Doctor,"""At least not until we're sure that your medication is suitable.""",0.015
80,Doctor,"""So, I've spoken to your parents about a transfer.""",0.015
81,Doctor,"""It's a school called Yamaku Academy that specializes in dealing with disabled students.""",0.015
82,,Disabled? What? Am I…,0.015
83,Doctor,"""It has a 24-hour nursing staff and it's only a few minutes from a highly regarded general hospital. The majority of students live on the campus.""",0.015
84,Doctor,"""Think of it as a boarding school of sorts. It's designed to give students a degree of independence, while keeping help nearby.""",0.015
85,,Independence? It's a school for disabled kids. Don't try to disguise that fact.,0.015
86,,"If it was really that 'free,' there wouldn't be a 24-hour nursing staff, and you wouldn't make a hospital being nearby a selling point.",0.015
87,Papá,"""Of course, that's only if you want to go. But… your mother and I aren't really able to home school you.""",0.015
88,Papá,"""We went out there and had a look a couple of weeks back; I think you'd like it.""",0.015
89,,It looks like I really don't have a choice.,0.015
90,Doctor,"""Compared to other heart problems, people with your condition usually tend to live long lives. You'll need a job one day and this is a good opportunity to continue your education.""",0.015
91,,"This isn't an opportunity, don't call it an opportunity. Don't call it a goddamned opportunity.",0.015
92,Doctor,"""Well, you should be excited at the chance to go back to school. I remember you wanted to return to school, and while it's not the same one…""",0.015
93,,A special school. That's…,0.015
94,,An insult. That is what I want to say. It's a step down.,0.015
95,Papá,"""It's not what you think. All of the students there are pretty active, in their own sort of way.""",0.015
96,Papá,"""It's geared towards students that can still get around and learn, but just need a little help… in one way or another.""",0.015
97,Doctor,"""Your father's right. And many of the graduates of the school have gone on to do amazing things. A person doesn't have to be held back by their disability.""",0.015
98,Doctor,"""One of my colleagues in another hospital is a graduate.""",0.015
99,,I don't care. A person doesn't have to be held back by their disability? That's what a disability is.,0.015
100,,I really hate that something so important was decided for me. But what can I do about it? A 'normal' life is out of the question now.,0.015
101,,"It's funny, I had always thought my life was actually kind of boring, but now I miss it.",0.015
102,,"I want to protest. I want to blame this lack of reaction on shock, or fatigue. I could easily yell out something now - something about how I can go back to school anyway. But, no.",0.015
103,,I don't say anything. The fact is that I know now it's futile.,0.015
104,,"I look around the room, feeling very tired of all this. The hospital, doctors, my condition, everything. I don't see anything that would make me feel any different.",0.015
105,,"There really isn't a choice. I know this, but the thought of going to a disabled school… what are those even like? As much as I try to put a positive spin on this, it's very difficult.",0.015
106,,But let me try.,0.015
107,,A clean slate isn't a bad thing.,0.015
108,,"That is all I can think of to get me through this. At least I still have something; even if it's a 'special school,' it's something. It's a fresh start, and my life isn't over. It would be a mistake to just resign myself to thinking that.",0.015
109,,"At the very least, I'll try to see what my new life will look like.",0.015
110_wbIn,,,
111_changeEscene,,,
