ID,Nombre,Texto,Velocidad
31,bbs9-line1_63-line2_47-line3_31-line4_15,"Así que, sin tener nada que hacer, observaba la cicatriz que
aquellas cirugías habían dejado en mi pecho cambiar lentamente su
apariencia a través del tiempo, pensando en ello como una especie
de presagio.",0.015
32,bbs9-line5_-17-line6_-33-line7_-49-line8_-65,"Aún le pregunto al jefe de cardiología sobre cuándo podré irme
pero mis expectativas son ahora tan bajas que ya no me decepciono
cuando él no contesta. El modo en que evade la respuesta muestra
que hay por lo menos un poco de esperanza.",0.015
33,bbs10-line1_103-line2_87,"En algún momento dejé de ver televisión. No sé por qué, solo lo
hice.",0.015
34,bbs10-line3_55,Tal vez era el tipo equivocado de escapismo para mi situación.,0.015
35,bbs10-line4_23-line5_7-line6_-9-line7_-25,"En lugar de eso, empecé a leer. Había una pequeña “biblioteca” en
el hospital, aunque era más como un almacén para libros. Comencé a
leer todo lo que había ahí, una pila pequeña a la vez. Después de
consumirla, regresaba por más.",0.015
36,bbs10-line8_-57-line9_-73,"Descubrí que me gustaba la lectura, incluso pienso que me volví un
poco adicto. Empecé a sentirme desnudo sin un libro en las manos.",0.015
37,bbs10-line10_-105,Pero me encantaban las historias.,0.015
38,bbs11-line1_79,Eso fue lo que era mi vida.,0.015
39,bbs11-line2_47-line3_31-line4_15-line5_-1,"Se volvió cada vez más difícil distinguir un día del otro, difiriendo
únicamente en el libro que leía y el clima afuera. Se sentía como si
el tiempo se desdibujara en algún tipo de masa gelatinosa en la que
me encontraba atrapado, en lugar de moviéndome dentro de ella.",0.015
40,bbs11-line6_-33,Una semana podía ir y venir sin que yo me diera cuenta realmente.,0.015
41,bbs11-line7_-65-line8_-81,"Algunas veces, me detenía al darme cuenta de que no sabía qué día
de la semana era.",0.015
42,bbs12-line1_87-line2_71-line3_55,"Pero otras veces, todo lo que me rodeaba colapsaba dolorosamente
hacia mi consciencia, a través de la barrera de indiferencia que
había erguido para mí.",0.015
43,bbs12-line4_23-line5_7-line6_-9-line7_-25,"Las páginas de mi libro comenzaban a cobrar filo y a arder, la
pesadez en mi pecho se hacía tan difícil de soportar que debía dejar
el libro de lado y solo recostarme por un rato, mirando al techo
como si fuera a llorar.",0.015
44,bbs12-line8_-57,Pero eso pasaba en raras ocasiones.,0.015
45,bbs12-line9_-89,Y no podía siquiera llorar.,0.015
46_bbsOut,,,
47,,"Hoy el doctor entra y me da una gran sonrisa. Parece entusiasmado, pero no mucho. Es como si estuviera esforzándose por verse feliz por mí.",0.015
48,,Mis padres están aquí. Han sido algunos días desde que los vi por última vez. Incluso los dos parecen estar vestidos para la ocasión. ¿Acaso se supone que esto es alguna clase de evento especial? No es una fiesta.,0.015
49,,"Hay un ritual que el jefe de cardiología tiene. Se toma su tiempo ordenando sus papeles, luego los pone a un lado como si quisiera enfatizar la inutilidad de lo que acaba de hacer.",0.015
50,,Entonces casualmente se sienta a la orilla de la cama a mi lado. Me ve a los ojos por un momento.,0.015
51,Doctor,"""Hola, Hisao. ¿Cómo estás hoy?""",0.015
52,,"No le respondo, pero le devuelvo una pequeña sonrisa.",0.015
53,Doctor,"""Creo que puedes irte a casa; tu corazón es más fuerte ahora, y con un poco de precauciones, deberías de estar bien.""",0.015
54,Doctor,"""Ya tenemos todos tus medicamentos en orden. Le daré la receta a tu padre.""",0.015
55,,"El doctor le da una hoja de papel a mi papá, cuya expresión se convierte en piedra mientras la lee rápidamente.",0.015
56,Papá,"""Son tantos…""",0.015
57,,"La tomo de su mano y le echo un vistazo, sintiéndome entumido. ¿Cómo se supone que deba reaccionar a esto?",0.015
58_lWbIn,,,
59_medicalText,,,
60,,La absurdamente larga lista de medicamentos mirándome de vuelta desde el papel parece insuperable. Todos ellos entremezclándose en un mar de letras.,0.015
61,,Esto es una locura.,0.015
62,,"Efectos secundarios, efectos adversos, contraindicaciones y dosis se encuentran listadas línea tras línea con fría precisión.",0.015
63,,"Intento leerlas, pero es tan inútil.",0.015
64,,No puedo entender nada de esto. Solo intentarlo me hace sentir más enfermo.,0.015
65,,"Todo esto… ¿por el resto de mi vida, todos los días?",0.015
66_bbIn,,,
67_bWbOut,,,
68_medicalTextOut,,,
69_bbOut,,,
70,Doctor,"""Me temo que esto es lo mejor que podemos hacer en este momento.""",0.015
71,Doctor,"""Sin embargo, nuevos medicamentos siempre están siendo desarrollados, así que no me sorprendería ver esa lista disminuir a través de los años.""",0.015
72,,Años… ¿Qué clase de aliento es eso? Me hubiera sentido mejor si él no hubiera dicho nada en absoluto…,0.015
73,Doctor,"""Además, he charlado con tus padres y creemos que sería lo mejor si no regresaras a tu antigua escuela.""",0.015
74,,¿¡Qué!?,0.015
75,Papá,"""Por favor, tranquilízate, Hisao. Escucha lo que el doctor tiene que decir…""",0.015
76,,¿Tranquilizarme? La forma en que lo dice me da a entender que sabía por completo que no me agradaría. ¿Seré acaso educado en casa?,0.015
77,,"Lo que sea que mi preocupación muestra, es ignorado.",0.015
78,Doctor,"""Todos entendemos que tu educación es primordial; sin embargo, no pienso que sea prudente que te encuentres sin supervisión.""",0.015
79,Doctor,"""Al menos no hasta que nos aseguremos de que tu medicamento es adecuado.""",0.015
80,Doctor,"""Así que, he hablado con tus padres acerca de una transferencia.""",0.015
81,Doctor,"""Es una escuela llamada Academia Yamaku que se especializa en el trato con estudiantes discapacitados.""",0.015
82,,¿Discapacitado? ¿Qué? Acaso soy…,0.015
83,Doctor,"""Tiene personal de enfermería las 24 horas y está a solo unos minutos de un hospital general de gran prestigio. La mayoría de los estudiantes viven en el campus.""",0.015
84,Doctor,"""Piénsalo como un tipo de internado. Está diseñado para dar a los estudiantes un cierto grado de independencia, mientras se mantiene ayuda cercana.""",0.015
85,,¿Independencia? Es una escuela para muchachos discapacitados. No trate de ocultar ese hecho.,0.015
86,,"Si fuese realmente “libre”, no habría personal de enfermería las 24 horas, y usted no haría del hospital cercano un gancho de venta.",0.015
87,Papá,"""Por supuesto, eso es solo si tú quieres ir. Pero… tu madre y yo no somos capaces de educarte en casa.""",0.015
88,Papá,"""Fuimos allá y vimos el lugar hace un par de semanas; pienso que te gustaría.""",0.015
89,,Parece que en verdad no tengo opción.,0.015
90,Doctor,"""Comparado con otros problemas cardiacos, gente con tu condición tiende a vivir vidas largas. Necesitarás un trabajo algún día y esta es una buena oportunidad para continuar tu educación.""",0.015
91,,"Esto no es una oportunidad, no la llame una oportunidad. No la llame una maldita oportunidad.",0.015
92,Doctor,"""Bueno, deberías estar entusiasmado por la oportunidad de volver a la escuela. Recuerdo que querías volver a ella, y si bien no es la misma…""",0.015
93,,Una escuela especial. Eso es…,0.015
94,,Un insulto. Eso es lo que quiero decir. Es un paso atrás.,0.015
95,Papá,"""No es lo que piensas. Todos los estudiantes ahí son bastante activos, en su propio modo.""",0.015
96,Papá,"""Está dirigida a estudiantes que todavía pueden moverse y aprender, pero solo necesitan un poco de ayuda… de alguna forma u otra.""",0.015
97,Doctor,"""Tu padre está en lo correcto. Y muchos de los graduados de esa escuela han llegado a hacer cosas asombrosas. Una persona no tiene que ser frenada por su discapacidad.""",0.015
98,Doctor,"""Uno de mis colegas en otro hospital es un graduado.""",0.015
99,,No me importa. ¿Una persona no tiene que ser frenada por su discapacidad? Eso es lo que una discapacidad es.,0.015
100,,Realmente odio que algo tan importante haya sido decidido por mí. Pero ¿qué puedo hacer al respecto? Una vida “normal” es ahora imposible.,0.015
101,,"Es gracioso, siempre había pensado que mi vida era un poco aburrida, pero ahora la extraño.",0.015
102,,"Quiero protestar. Quiero culpar de esta falta de reacción al estado de shock, o fatiga. Podría fácilmente gritar algo en este momento; algo sobre cómo puedo regresar a la escuela en cualquier caso. Pero, no.",0.015
103,,No digo nada. El hecho es que ahora sé que es inútil.,0.015
104,,"Veo alrededor de la habitación, sintiéndome muy cansado de todo esto. El hospital, los doctores, mi condición, todo. No veo nada que me pueda hacer sentir diferente.",0.015
105,,"En realidad no hay ninguna opción. Esto lo sé, pero el pensar que iré a una escuela para discapacitados… ¿y cómo se supone que son esas? Por más que trate de verle el lado positivo, es muy difícil.",0.015
106,,Pero permítanme intentar.,0.015
107,,Un borrón y cuenta nueva no es algo malo.,0.015
108,,"Eso es en todo lo que puedo pensar para salir de esto. Al menos todavía tengo algo; incluso si es una “escuela especial”, es algo. Es un nuevo inicio, y mi vida no ha terminado. Sería un error simplemente resignarme a pensar eso.",0.015
109,,"Por lo menos, trataré de ver cómo será mi nueva vida.",0.015
110_wbIn,,,
111_changeEscene,,,
